MAX_STRM_id,GOT2,NewID,ACAD_CAREER,PROG_STATUS,PROG_ACTION,STATUS_DT,ADMIT_TERM,BEGIN_DT,END_DT,EXP_GRAD_TERM,CAMPUS,SAD_LOAD_DESCR,ACAD_PLAN,ACAD_PROG_DESCR,TRNSCR_DESCR,ACAD_ORG,DISABILITY,NATIONALITY,RACE,SEX,MUET,IELTS,LOAN,SPONSOR,SCHOLAR,TOT_CUMULATIVE,N_FINAL_RSLT_DESCR,N_HONOUR_DESCR,CREDITREQUIRED,CNT_DISC,INFO1,CUMM_UNT_PASSD_NOGPA,TOT_TRNSFR,MAX_TOT_PASSD_GPA,LATEST_CH_PASSD,MAX_STRM,SUM_UNT_PASSD_GPA,Prog_Length(Trimester),T1:CUR_GPA,T1:CUM_GPA,T1:UNT_TAKEN_GPA,T1:UNT_TAKEN_NOGPA,T1:UNT_PASSD_GPA,T1:UNT_PASSD_NOGPA,T1:TOT_PASSD_GPA,T2:CUR_GPA,T2:CUM_GPA,T2:UNT_TAKEN_GPA,T2:UNT_TAKEN_NOGPA,T2:UNT_PASSD_GPA,T2:UNT_PASSD_NOGPA,T2:TOT_PASSD_GPA,T3:CUR_GPA,T3:CUM_GPA,T3:UNT_TAKEN_GPA,T3:UNT_TAKEN_NOGPA,T3:UNT_PASSD_GPA,T3:UNT_PASSD_NOGPA,T3:TOT_PASSD_GPA,T4:CUR_GPA,T4:CUM_GPA,T4:UNT_TAKEN_GPA,T4:UNT_TAKEN_NOGPA,T4:UNT_PASSD_GPA,T4:UNT_PASSD_NOGPA,T4:TOT_PASSD_GPA,T5:CUR_GPA,T5:CUM_GPA,T5:UNT_TAKEN_GPA,T5:UNT_TAKEN_NOGPA,T5:UNT_PASSD_GPA,T5:UNT_PASSD_NOGPA,T5:TOT_PASSD_GPA,T6:CUR_GPA,T6:CUM_GPA,T6:UNT_TAKEN_GPA,T6:UNT_TAKEN_NOGPA,T6:UNT_PASSD_GPA,T6:UNT_PASSD_NOGPA,T6:TOT_PASSD_GPA,T7:CUR_GPA,T7:CUM_GPA,T7:UNT_TAKEN_GPA,T7:UNT_TAKEN_NOGPA,T7:UNT_PASSD_GPA,T7:UNT_PASSD_NOGPA,T7:TOT_PASSD_GPA,T8:CUR_GPA,T8:CUM_GPA,T8:UNT_TAKEN_GPA,T8:UNT_TAKEN_NOGPA,T8:UNT_PASSD_GPA,T8:UNT_PASSD_NOGPA,T8:TOT_PASSD_GPA,T9:CUR_GPA,T9:CUM_GPA,T9:UNT_TAKEN_GPA,T9:UNT_TAKEN_NOGPA,T9:UNT_PASSD_GPA,T9:UNT_PASSD_NOGPA,T9:TOT_PASSD_GPA,T10:CUR_GPA,T10:CUM_GPA,T10:UNT_TAKEN_GPA,T10:UNT_TAKEN_NOGPA,T10:UNT_PASSD_GPA,T10:UNT_PASSD_NOGPA,T10:TOT_PASSD_GPA,T11:CUR_GPA,T11:CUM_GPA,T11:UNT_TAKEN_GPA,T11:UNT_TAKEN_NOGPA,T11:UNT_PASSD_GPA,T11:UNT_PASSD_NOGPA,T11:TOT_PASSD_GPA,T12:CUR_GPA,T12:CUM_GPA,T12:UNT_TAKEN_GPA,T12:UNT_TAKEN_NOGPA,T12:UNT_PASSD_GPA,T12:UNT_PASSD_NOGPA,T12:TOT_PASSD_GPA,T13:CUR_GPA,T13:CUM_GPA,T13:UNT_TAKEN_GPA,T13:UNT_TAKEN_NOGPA,T13:UNT_PASSD_GPA,T13:UNT_PASSD_NOGPA,T13:TOT_PASSD_GPA,T14:CUR_GPA,T14:CUM_GPA,T14:UNT_TAKEN_GPA,T14:UNT_TAKEN_NOGPA,T14:UNT_PASSD_GPA,T14:UNT_PASSD_NOGPA,T14:TOT_PASSD_GPA,T15:CUR_GPA,T15:CUM_GPA,T15:UNT_TAKEN_GPA,T15:UNT_TAKEN_NOGPA,T15:UNT_PASSD_GPA,T15:UNT_PASSD_NOGPA,T15:TOT_PASSD_GPA,T16:CUR_GPA,T16:CUM_GPA,T16:UNT_TAKEN_GPA,T16:UNT_TAKEN_NOGPA,T16:UNT_PASSD_GPA,T16:UNT_PASSD_NOGPA,T16:TOT_PASSD_GPA,T17:CUR_GPA,T17:CUM_GPA,T17:UNT_TAKEN_GPA,T17:UNT_TAKEN_NOGPA,T17:UNT_PASSD_GPA,T17:UNT_PASSD_NOGPA,T17:TOT_PASSD_GPA
1,N,G1002156,DIPL,DC,DISC,"Wednesday, 30 August, 2017",1710,"Monday, 3 July, 2017","Sunday, 5 July, 2020",1930,MLAKA,Full-Time,DD12,Dip. Bus. Admin.,Diploma in Business Administration,FOB,No disability,Malaysia,CHINESE,M,,,,,,0,NO GPA,NA,91,1,,0,,0,0,1710,0,6,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,G1006410,UGRD,DC,DISC,"Monday, 2 April, 2018",1720,"Monday, 20 November, 2017","Sunday, 2 January, 2022",2110,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,F,,,,,,8,PROBATION,Less 2,146,1,,5,25,3,33,1720,3,12,1.47,1.47,10,8,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N,G1012310,UGRD,DC,DISC,"Tuesday, 3 July, 2018",1720,"Monday, 20 November, 2017","Sunday, 2 January, 2022",2110,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,M,,,,,,27,PASS,Second Class Honours (Lower Division),146,1,,11,23,16,50,1730,16,12,3.01,3.01,10,8,10,8,10,2.27,2.73,6,3,6,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,G1008772,UGRD,DC,DISC,"Monday, 9 April, 2018",1720,"Monday, 20 November, 2017","Sunday, 2 January, 2022",2110,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,F,3,,,,,11,PROBATION,Less 2,146,1,MUET(MUET):3,8,26,3,37,1720,3,12,1.34,1.34,10,8,3,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,G1001858,UGRD,DC,DISC,"Thursday, 25 January, 2018",1720,"Monday, 20 November, 2017","Sunday, 2 January, 2022",2110,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,F,3,,,,,40,NO GPA,NA,146,1,MUET(MUET):3,0,23,0,23,1720,0,12,0,0,0,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,G1013088,UGRD,DC,DISC,"Friday, 27 April, 2018",1720,"Monday, 20 November, 2017","Sunday, 2 January, 2022",2110,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,F,,,,,,18,PASS,Third Class Honours,146,1,,8,20,10,38,1720,10,12,2.63,2.63,10,8,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N,G1011850,UGRD,DC,DISC,"Wednesday, 27 February, 2019",1810,"Monday, 2 July, 2018","Sunday, 25 September, 2022",2130,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,INDIAN,F,,,,,,11,PROBATION,Less 2,146,1,"Bahasa Inggeris(SPM-2013):A-, Bahasa Melayu(SPM-2013):B, Biologi(SPM-2013):D, Fizik(SPM-2013):C, Kimia(SPM-2013):E, Matematik(SPM-2013):A, Matematik Tambahan(SPM-2013):C+, Pengetahuan Moral(SPM-2013):C+, Sejarah(SPM-2013):C",5,26,6,37,1820,6,12,2.25,2.25,9,5,6,5,6,0,1.12,9,10,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,G1013077,UGRD,DC,DISC,"Tuesday, 15 May, 2018",1720,"Monday, 20 November, 2017","Sunday, 2 January, 2022",2110,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,F,,,,,,11,PROBATION,Less 2,146,1,,8,26,3,37,1720,3,12,1.55,1.55,10,8,3,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,G1007011,UGRD,CN,WADM,"Monday, 27 July, 2020",1720,"Monday, 20 November, 2017","Sunday, 2 January, 2022",2110,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,M,,,,,,20,NO GPA,NA,146,1,,0,20,0,20,1720,0,12,0,0,0,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N,G1002539,UGRD,DC,DISC,"Tuesday, 27 November, 2018",1720,"Monday, 20 November, 2017","Sunday, 2 January, 2022",2110,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,F,,,,,,24,PASS,Second Class Honours (Lower Division),146,1,,11,26,13,50,1730,13,12,3,3,10,8,10,8,10,2,2.77,3,3,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
