iter	MultiClass
0	1.758327208
1	1.729811177
2	1.702731093
3	1.673125551
4	1.646089122
5	1.621428407
6	1.595419154
7	1.571008782
8	1.550088431
9	1.528367182
10	1.507481637
11	1.486993613
12	1.465450399
13	1.444547869
14	1.424270768
15	1.406760931
16	1.389189812
17	1.371250063
18	1.35613515
19	1.338838715
20	1.323049216
21	1.307709791
22	1.291783055
23	1.277329669
24	1.263399075
25	1.249568232
26	1.236642787
27	1.22293272
28	1.2112962
29	1.198125112
30	1.184194222
31	1.173088174
32	1.160509752
33	1.148874278
34	1.13747619
35	1.12626843
36	1.115449755
37	1.104535607
38	1.094339094
39	1.08346083
40	1.073275967
41	1.063349445
42	1.053567067
43	1.0443548
44	1.03513075
45	1.025600928
46	1.01685928
47	1.008149018
48	1.000438356
49	0.991952705
50	0.9841635401
51	0.9751810064
52	0.9674161438
53	0.9589472336
54	0.9506300135
55	0.9428199236
56	0.9351859763
57	0.9273258375
58	0.9202831358
59	0.9134155991
60	0.9066429645
61	0.8993679596
62	0.8917979334
63	0.8843469237
64	0.8778433382
65	0.8711679823
66	0.8644145134
67	0.8575136793
68	0.8513526294
69	0.8449144466
70	0.8388370872
71	0.8336772295
72	0.827651754
73	0.8217537818
74	0.8155593408
75	0.8096120729
76	0.803746838
77	0.7981154773
78	0.7926341698
79	0.7874680826
80	0.7821787919
81	0.7765235186
82	0.771284532
83	0.7666141416
84	0.7622241692
85	0.757045458
86	0.752449778
87	0.7474575293
88	0.7424355926
89	0.7375326624
90	0.7327052846
91	0.7279159034
92	0.7239700816
93	0.7196252479
94	0.7148202566
95	0.70988026
96	0.7061271609
97	0.7013220921
98	0.6964591674
