iter	Passed	Remaining
0	212	21032
1	423	20771
2	630	20394
3	849	20386
4	1064	20222
5	1277	20007
6	1493	19844
7	1707	19638
8	1967	19891
9	2181	19629
10	2391	19345
11	2511	18421
12	2719	18202
13	2787	17121
14	2908	16483
15	3130	16435
16	3346	16338
17	3560	16221
18	3778	16106
19	3997	15991
20	4217	15867
21	4479	15880
22	4703	15745
23	4988	15795
24	5218	15655
25	5436	15474
26	5663	15311
27	5899	15169
28	6114	14970
29	6331	14772
30	6553	14586
31	6800	14450
32	7015	14243
33	7250	14073
34	7498	13925
35	7726	13735
36	7949	13534
37	8168	13327
38	8378	13105
39	8592	12888
40	8813	12683
41	9036	12478
42	9295	12321
43	9506	12099
44	9723	11884
45	9929	11656
46	10155	11451
47	10387	11253
48	10608	11041
49	10848	10848
50	11072	10638
51	11291	10423
52	11567	10257
53	11794	10047
54	12030	9843
55	12246	9622
56	12465	9403
57	12683	9184
58	12907	8969
59	13135	8756
60	13361	8542
61	13622	8349
62	13849	8133
63	14080	7920
64	14319	7710
65	14551	7496
66	14771	7275
67	14993	7055
68	15209	6833
69	15431	6613
70	15643	6389
71	15950	6203
72	16162	5977
73	16378	5754
74	16594	5531
75	16822	5312
76	17031	5087
77	17247	4864
78	17496	4651
79	17752	4438
80	18026	4228
81	18252	4006
82	18482	3785
83	18712	3564
84	18937	3341
85	19153	3117
86	19373	2894
87	19612	2674
88	19873	2456
89	20107	2234
90	20321	2009
91	20543	1786
92	20765	1563
93	20983	1339
94	21213	1116
95	21470	894
96	21736	672
97	22037	449
98	22250	224
